time,base_pos,heading
14.01899999999767,[-0.02452939 -0.17095025  0.05548389],[-0.87691172 -3.14159265  3.14159265 -3.14159265]
14.019999999997669,[-0.02456398 -0.17094499  0.05546921],[-0.87669422 -3.14159265  3.14159265 -3.14159265]
14.020999999997668,[-0.02459841 -0.1709413   0.05545286],[-0.87645706 -3.14159265  3.14159265 -3.14159265]
14.021999999997668,[-0.02463259 -0.17093914  0.05543502],[-0.87620347 -3.14159265  3.14159265 -3.14159265]
14.022999999997667,[-0.0246664  -0.1709385   0.05541582],[-0.87593598 -3.14159265  3.14159265 -3.14159265]
14.023999999997667,[-0.02469975 -0.17093935  0.05539541],[-0.87565651 -3.14159265  3.14159265 -3.14159265]
14.024999999997666,[-0.02473352 -0.1709414   0.05537315],[-0.87536015 -3.14159265  3.14159265 -3.14159265]
14.025999999997666,[-0.02476753 -0.17094463  0.05534926],[-0.87504906 -3.14159265  3.14159265 -3.14159265]
14.026999999997665,[-0.02480191 -0.17094853  0.0553233 ],[-0.8747208  -3.14159265  3.14159265 -3.14159265]
14.027999999997665,[-0.02483653 -0.17095315  0.05529554],[-0.8743789  -3.14159265  3.14159265 -3.14159265]
14.028999999997664,[-0.02487112 -0.17095854  0.05526632],[-0.87402725 -3.14159265  3.14159265 -3.14159265]
14.029999999997663,[-0.02490545 -0.17096473  0.05523597],[-0.87366907 -3.14159265  3.14159265 -3.14159265]
14.030999999997663,[-0.02494065 -0.17097146  0.05520364],[-0.87329799 -3.14159265  3.14159265 -3.14159265]
14.031999999997662,[-0.0249765  -0.17097876  0.05516962],[-0.87291604 -3.14159265  3.14159265 -3.14159265]
14.032999999997662,[-0.02501283 -0.1709867   0.05513412],[-0.87252536 -3.14159265  3.14159265 -3.14159265]
14.033999999997661,[-0.02504937 -0.17099532  0.05509745],[-0.87212844 -3.14159265  3.14159265 -3.14159265]
14.03499999999766,[-0.02508586 -0.17100469  0.05505993],[-0.87172759 -3.14159265  3.14159265 -3.14159265]
14.03599999999766,[-0.02512204 -0.17101486  0.05502185],[-0.87132451 -3.14159265  3.14159265 -3.14159265]
14.03699999999766,[-0.0251592  -0.17102553  0.05498223],[-0.87091139 -3.14159265  3.14159265 -3.14159265]
14.037999999997659,[-0.0251971  -0.17103676  0.05494129],[-0.87048904 -3.14159265  3.14159265 -3.14159265]
14.038999999997658,[-0.02523549 -0.17104861  0.05489931],[-0.87005938 -3.14159265  3.14159265 -3.14159265]
14.039999999997658,[-0.02527405 -0.17106115  0.05485662],[-0.86962466 -3.14159265  3.14159265 -3.14159265]
14.040999999997657,[-0.02531252 -0.17107444  0.05481351],[-0.86918665 -3.14159265  3.14159265 -3.14159265]
14.041999999997657,[-0.02535062 -0.17108852  0.05477026],[-0.86874672 -3.14159265  3.14159265 -3.14159265]
14.042999999997656,[-0.02538977 -0.17110309  0.05472573],[-0.86829624 -3.14159265  3.14159265 -3.14159265]
14.043999999997656,[-0.0254297  -0.17111822  0.05468022],[-0.86783601 -3.14159265  3.14159265 -3.14159265]
14.044999999997655,[-0.02547067 -0.17113392  0.05463455],[-0.86739094 -3.14159265  3.14159265 -3.14159265]
14.045999999997655,[-0.02551238 -0.17115037  0.05458881],[-0.86695884 -3.14159265  3.14159265 -3.14159265]
14.046999999997654,[-0.02555456 -0.17116769  0.05454315],[-0.86653648 -3.14159265  3.14159265 -3.14159265]
14.047999999997653,[-0.02559693 -0.17118602  0.05449767],[-0.86612057 -3.14159265  3.14159265 -3.14159265]
14.048999999997653,[-0.02564043 -0.17120515  0.05445053],[-0.86567655 -3.14159265  3.14159265 -3.14159265]
14.049999999997652,[-0.02568467 -0.17122516  0.05440212],[-0.8652066  -3.14159265  3.14159265 -3.14159265]
14.050999999997652,[-0.02572929 -0.17124614  0.05435279],[-0.8647154  -3.14159265  3.14159265 -3.14159265]
14.051999999997651,[-0.02577397 -0.17126817  0.05430287],[-0.86420725 -3.14159265  3.14159265 -3.14159265]
14.05299999999765,[-0.0258184  -0.17129133  0.05425264],[-0.86368581 -3.14159265  3.14159265 -3.14159265]
14.05399999999765,[-0.0258623  -0.17131569  0.05420238],[-0.86315419 -3.14159265  3.14159265 -3.14159265]
14.05499999999765,[-0.02590726 -0.17134091  0.05415076],[-0.86260378 -3.14159265  3.14159265 -3.14159265]
14.055999999997649,[-0.02595283 -0.17136709  0.0540982 ],[-0.86203839 -3.14159265  3.14159265 -3.14159265]
14.056999999997648,[-0.02599867 -0.1713943   0.05404502],[-0.86146197 -3.14159265  3.14159265 -3.14159265]
14.057999999997648,[-0.02604444 -0.17142261  0.05399156],[-0.86087778 -3.14159265  3.14159265 -3.14159265]
14.058999999997647,[-0.02608983 -0.17145208  0.05393807],[-0.86028849 -3.14159265  3.14159265 -3.14159265]
14.059999999997647,[-0.02613456 -0.17148276  0.05388482],[-0.85969621 -3.14159265  3.14159265 -3.14159265]
14.060999999997646,[-0.02618023 -0.17151429  0.05383046],[-0.85909086 -3.14159265  3.14159265 -3.14159265]
14.061999999997646,[-0.02622641 -0.17154673  0.0537754 ],[-0.85847554 -3.14159265  3.14159265 -3.14159265]
14.062999999997645,[-0.02627342 -0.17158012  0.05372045],[-0.85787695 -3.14159265  3.14159265 -3.14159265]
14.063999999997645,[-0.02632092 -0.1716146   0.0536657 ],[-0.85729288 -3.14159265  3.14159265 -3.14159265]
14.064999999997644,[-0.02636863 -0.17165029  0.05361125],[-0.85671991 -3.14159265  3.14159265 -3.14159265]
14.065999999997643,[-0.02641563 -0.17168733  0.05355677],[-0.85613215 -3.14159265  3.14159265 -3.14159265]
14.066999999997643,[-0.02646347 -0.17172533  0.05350089],[-0.85551785 -3.14159265  3.14159265 -3.14159265]
14.067999999997642,[-0.02651172 -0.17176438  0.05344407],[-0.85488144 -3.14159265  3.14159265 -3.14159265]
14.068999999997642,[-0.02656002 -0.17180451  0.05338665],[-0.85422769 -3.14159265  3.14159265 -3.14159265]
14.069999999997641,[-0.02660805 -0.1718458   0.05332895],[-0.85356061 -3.14159265  3.14159265 -3.14159265]
14.07099999999764,[-0.0266555  -0.17188828  0.05327127],[-0.8528835  -3.14159265  3.14159265 -3.14159265]
14.07199999999764,[-0.0267021  -0.171932    0.05321386],[-0.85219898 -3.14159265  3.14159265 -3.14159265]
14.07299999999764,[-0.02674941 -0.17197655  0.05315532],[-0.8514954  -3.14159265  3.14159265 -3.14159265]
14.073999999997639,[-0.02679701 -0.172022    0.05309608],[-0.85077693 -3.14159265  3.14159265 -3.14159265]
14.074999999997639,[-0.02684456 -0.17206839  0.05303649],[-0.85004775 -3.14159265  3.14159265 -3.14159265]
14.075999999997638,[-0.02689173 -0.17211575  0.05297687],[-0.84931123 -3.14159265  3.14159265 -3.14159265]
14.076999999997637,[-0.02693824 -0.17216413  0.05291749],[-0.84856998 -3.14159265  3.14159265 -3.14159265]
14.077999999997637,[-0.0269847  -0.17221353  0.05285918],[-0.8478549  -3.14159265  3.14159265 -3.14159265]
14.078999999997636,[-0.02703179 -0.17226364  0.05279967],[-0.8471182  -3.14159265  3.14159265 -3.14159265]
14.079999999997636,[-0.02707988 -0.1723145   0.05273994],[-0.84638802 -3.14159265  3.14159265 -3.14159265]
14.080999999997635,[-0.02712786 -0.17236626  0.05267964],[-0.8456387  -3.14159265  3.14159265 -3.14159265]
14.081999999997635,[-0.02717543 -0.17241894  0.05261913],[-0.84487275 -3.14159265  3.14159265 -3.14159265]
14.082999999997634,[-0.02722229 -0.17247259  0.05255871],[-0.84409386 -3.14159265  3.14159265 -3.14159265]
14.083999999997634,[-0.02726819 -0.17252725  0.05249864],[-0.84330519 -3.14159265  3.14159265 -3.14159265]
14.084999999997633,[-0.02731537 -0.17258248  0.05243803],[-0.84252006 -3.14159265  3.14159265 -3.14159265]
14.085999999997632,[-0.02736272 -0.17263843  0.05237652],[-0.84171165 -3.14159265  3.14159265 -3.14159265]
14.086999999997632,[-0.0274099  -0.17269515  0.05231451],[-0.84088385 -3.14159265  3.14159265 -3.14159265]
14.087999999997631,[-0.02745659 -0.17275269  0.05225234],[-0.84004164 -3.14159265  3.14159265 -3.14159265]
14.08899999999763,[-0.02750347 -0.17281108  0.05219087],[-0.83921886 -3.14159265  3.14159265 -3.14159265]
14.08999999999763,[-0.02754939 -0.17287048  0.05212955],[-0.83838372 -3.14159265  3.14159265 -3.14159265]
14.09099999999763,[-0.02759569 -0.17293045  0.05206694],[-0.83751852 -3.14159265  3.14159265 -3.14159265]
14.091999999997629,[-0.02764207 -0.17299104  0.05200349],[-0.83662962 -3.14159265  3.14159265 -3.14159265]
14.092999999997629,[-0.0276882  -0.1730523   0.05193958],[-0.8357239  -3.14159265  3.14159265 -3.14159265]
14.093999999997628,[-0.02773483 -0.17311427  0.05187613],[-0.83483855 -3.14159265  3.14159265 -3.14159265]
14.094999999997627,[-0.02778163 -0.17317712  0.05181312],[-0.83396971 -3.14159265  3.14159265 -3.14159265]
14.095999999997627,[-0.02782746 -0.173241    0.05175006],[-0.8330843  -3.14159265  3.14159265 -3.14159265]
14.096999999997626,[-0.02787355 -0.17330546  0.05168553],[-0.83216317 -3.14159265  3.14159265 -3.14159265]
14.097999999997626,[-0.02791964 -0.17337055  0.05161997],[-0.83121396 -3.14159265  3.14159265 -3.14159265]
14.098999999997625,[-0.02796545 -0.17343633  0.0515538 ],[-0.83024499 -3.14159265  3.14159265 -3.14159265]
14.099999999997625,[-0.02801069 -0.17350287  0.05148736],[-0.829263   -3.14159265  3.14159265 -3.14159265]
14.100999999997624,[-0.02805512 -0.17357021  0.05142098],[-0.82827332 -3.14159265  3.14159265 -3.14159265]
14.101999999997624,[-0.02809853 -0.1736384   0.05135493],[-0.82727994 -3.14159265  3.14159265 -3.14159265]
14.102999999997623,[-0.02814203 -0.17370699  0.05128777],[-0.82626323 -3.14159265  3.14159265 -3.14159265]
14.103999999997622,[-0.02818666 -0.173776    0.05122065],[-0.82526999 -3.14159265  3.14159265 -3.14159265]
14.104999999997622,[-0.02823217 -0.17384561  0.05115346],[-0.82429616 -3.14159265  3.14159265 -3.14159265]
14.105999999997621,[-0.02827712 -0.173916    0.0510857 ],[-0.82330344 -3.14159265  3.14159265 -3.14159265]
14.10699999999762,[-0.02832127 -0.17398719  0.05101775],[-0.82229505 -3.14159265  3.14159265 -3.14159265]
14.10799999999762,[-0.0283644  -0.17405924  0.05094992],[-0.82127603 -3.14159265  3.14159265 -3.14159265]
14.10899999999762,[-0.02840751 -0.17413169  0.05088076],[-0.82022529 -3.14159265  3.14159265 -3.14159265]
14.10999999999762,[-0.02845041 -0.17420458  0.05081075],[-0.81915235 -3.14159265  3.14159265 -3.14159265]
14.110999999997619,[-0.02849294 -0.17427794  0.05074025],[-0.81806601 -3.14159265  3.14159265 -3.14159265]
14.111999999997618,[-0.02853486 -0.17435181  0.05066965],[-0.81697391 -3.14159265  3.14159265 -3.14159265]
14.112999999997617,[-0.02857595 -0.17442625  0.05059929],[-0.81588179 -3.14159265  3.14159265 -3.14159265]
14.113999999997617,[-0.02861744 -0.17450132  0.05053011],[-0.81483419 -3.14159265  3.14159265 -3.14159265]
14.114999999997616,[-0.02866039 -0.17457666  0.05046042],[-0.81380482 -3.14159265  3.14159265 -3.14159265]
14.115999999997616,[-0.02870309 -0.17465243  0.05038954],[-0.81274434 -3.14159265  3.14159265 -3.14159265]
14.116999999997615,[-0.02874538 -0.17472864  0.05031791],[-0.81165901 -3.14159265  3.14159265 -3.14159265]
14.117999999997615,[-0.02878706 -0.17480535  0.05024595],[-0.81055813 -3.14159265  3.14159265 -3.14159265]
14.118999999997614,[-0.02882792 -0.17488261  0.05017401],[-0.8094493  -3.14159265  3.14159265 -3.14159265]
14.119999999997614,[-0.0288678 -0.1749605  0.0501024],[-0.80833821 -3.14159265  3.14159265 -3.14159265]
14.120999999997613,[-0.02890736 -0.17503849  0.05002973],[-0.80719843 -3.14159265  3.14159265 -3.14159265]
14.121999999997612,[-0.02894646 -0.17511662  0.04995654],[-0.80604174 -3.14159265  3.14159265 -3.14159265]
14.122999999997612,[-0.02898503 -0.17519491  0.0498832 ],[-0.80487834 -3.14159265  3.14159265 -3.14159265]
14.123999999997611,[-0.02902298 -0.17527337  0.04981009],[-0.80371709 -3.14159265  3.14159265 -3.14159265]
14.12499999999761,[-0.02906015 -0.17535205  0.04973754],[-0.80256438 -3.14159265  3.14159265 -3.14159265]
14.12599999999761,[-0.02909813 -0.17543103  0.04966652],[-0.80147167 -3.14159265  3.14159265 -3.14159265]
14.12699999999761,[-0.02913786 -0.17550995  0.04959538],[-0.80041057 -3.14159265  3.14159265 -3.14159265]
14.12799999999761,[-0.02917713 -0.17558897  0.04952331],[-0.79931895 -3.14159265  3.14159265 -3.14159265]
14.128999999997609,[-0.02921582 -0.17566807  0.04945081],[-0.79820425 -3.14159265  3.14159265 -3.14159265]
14.129999999997608,[-0.02925388 -0.17574731  0.04937861],[-0.79708304 -3.14159265  3.14159265 -3.14159265]
14.130999999997607,[-0.02929118 -0.17582673  0.0493072 ],[-0.79597255 -3.14159265  3.14159265 -3.14159265]
14.131999999997607,[-0.02932754 -0.17590635  0.0492369 ],[-0.79487809 -3.14159265  3.14159265 -3.14159265]
14.132999999997606,[-0.02936328 -0.1759856   0.04916635],[-0.79377021 -3.14159265  3.14159265 -3.14159265]
14.133999999997606,[-0.02939835 -0.17606447  0.04909619],[-0.79266205 -3.14159265  3.14159265 -3.14159265]
14.134999999997605,[-0.02943268 -0.17614297  0.04902681],[-0.79156466 -3.14159265  3.14159265 -3.14159265]
14.135999999997605,[-0.02946622 -0.17622109  0.04895855],[-0.7904859  -3.14159265  3.14159265 -3.14159265]
14.136999999997604,[-0.02949892 -0.17629885  0.04889168],[-0.78943121 -3.14159265  3.14159265 -3.14159265]
14.137999999997604,[-0.02953064 -0.17637625  0.04882649],[-0.78840447 -3.14159265  3.14159265 -3.14159265]
14.138999999997603,[-0.02956137 -0.17645272  0.04876183],[-0.78737435 -3.14159265  3.14159265 -3.14159265]
14.139999999997602,[-0.02959112 -0.17652823  0.04869835],[-0.78635373 -3.14159265  3.14159265 -3.14159265]
14.140999999997602,[-0.02961987 -0.17660278  0.04863645],[-0.78535317 -3.14159265  3.14159265 -3.14159265]
14.141999999997601,[-0.02964763 -0.17667636  0.04857644],[-0.78437981 -3.14159265  3.14159265 -3.14159265]
14.1429999999976,[-0.02967442 -0.17674898  0.04851853],[-0.78343775 -3.14159265  3.14159265 -3.14159265]
14.1439999999976,[-0.02970258 -0.17682086  0.04846339],[-0.7825767  -3.14159265  3.14159265 -3.14159265]
14.1449999999976,[-0.02973279 -0.17689168  0.04840948],[-0.78176703 -3.14159265  3.14159265 -3.14159265]
14.1459999999976,[-0.02976196 -0.17696142  0.04835606],[-0.78093732 -3.14159265  3.14159265 -3.14159265]
14.146999999997599,[-0.02979003 -0.17703008  0.0483037 ],[-0.78009555 -3.14159265  3.14159265 -3.14159265]
14.147999999997598,[-0.02981705 -0.17709771  0.04825272],[-0.77925274 -3.14159265  3.14159265 -3.14159265]
14.148999999997597,[-0.02984306 -0.17716439  0.04820335],[-0.7784171  -3.14159265  3.14159265 -3.14159265]
14.149999999997597,[-0.02986809 -0.1772302   0.04815573],[-0.77759399 -3.14159265  3.14159265 -3.14159265]
14.150999999997596,[-0.02989165 -0.17729458  0.04810887],[-0.77675159 -3.14159265  3.14159265 -3.14159265]
14.151999999997596,[-0.02991385 -0.17735758  0.04806345],[-0.77590764 -3.14159265  3.14159265 -3.14159265]
14.152999999997595,[-0.02993476 -0.17741926  0.04801988],[-0.77507673 -3.14159265  3.14159265 -3.14159265]
14.153999999997595,[-0.02995447 -0.1774797   0.04797844],[-0.77426915 -3.14159265  3.14159265 -3.14159265]
14.154999999997594,[-0.02997305 -0.17753897  0.04793929],[-0.77349135 -3.14159265  3.14159265 -3.14159265]
